"title","release_date","rating","director","writer","genres","runtime","original_language","budget","revenue"
"""Mitchell""!","10/09/1975 (US)","32","Andrew V. McLaglen","Ian Kennedy Martin","Suç,Dram,Aksiyon","1h 37m","İngilizce","-","-"
"*Piller Dahil Değildir","18/12/1987 (US)","66","Matthew Robbins","","Aile,Komedi,Fantastik,Bilim-Kurgu","1h 46m","İngilizce","$25,000,000.00","$65,088,797.00"
"...Ve Tanrı Kadını Yarattı","28/11/1956 (FR)","61","Roger Vadim","","Dram,Romantik","1h 32m","Fransızca","$300,000.00","$33,000,000.00"
"100 Kız","01/09/2000 (US)","58","Michael Davis","Michael Davis","Komedi,Dram,Romantik","1h 34m","İngilizce","-","-"
"101 Dalmaçyalı","25/01/1961 (US)","72","Hamilton Luske","","Macera,Animasyon,Komedi,Aile","1h 19m","İngilizce","$3,600,000.00","$303,000,000.00"
"101 Dalmaçyalı 2: Patch'in Londra Macerası","21/01/2003 (US)","60","Jim Kammerud","","Aile,Animasyon,Macera,Komedi","1h 14m","İngilizce","-","-"
"102 Dalmaçyalı","21/11/2000 (US)","55","Kevin Lima","","Aile,Komedi","1h 40m","İngilizce","$85,000,000.00","$183,611,771.00"
"12 Days of Christmas","01/09/2020 (US)","50","Michael Boyle","Michael Boyle","Komedi,Dram,Romantik","1h 26m","İngilizce","$30,000.00","-"
"12 Feet Deep","20/06/2017 (US)","57","Matt Eskandari","Matt Eskandari","Gerilim,Korku","1h 25m","İngilizce","-","$6,158.00"
"12 Yıllık Esaret","24/01/2014 (TR)","79","Steve McQueen","","Dram,Tarih","2h 14m","İngilizce","$20,000,000.00","$187,000,000.00"
"127 Saat","18/02/2011 (TR)","71","Danny Boyle","","Macera,Dram,Gerilim","1h 34m","İngilizce","$18,000,000.00","$35,700,000.00"
"13 Exorcisms","04/11/2022 (ES)","59","Jacobo Martínez","Ramón Campos","Dram,Korku","1h 44m","İspanyolca; Kastilyaca","-","$1,891,519.00"
"13 Hayalet","25/01/2002 (TR)","62","Steve Beck","","Korku,Gerilim","1h 31m","İngilizce","$42,000,000.00","$68,500,000.00"
"13 Minutes","29/10/2021 (US)","59","Lindsay Gossling","","Aksiyon,Dram,Gerilim","1h 48m","İngilizce","-","$67,413.00"
"13 Mucize: Tayland'daki Mağaradan Nasıl Kurtulduk?","05/10/2022 (TH)","64","Pailin Wedel","","Belgesel","1h 42m","Taylandça","-","-"
"13. Cuma","13/02/2009 (US)","58","Marcus Nispel","","Korku","1h 37m","İngilizce","$19,000,000.00","$91,509,154.00"
"13. Cuma","15/06/2021 (TR)","64","Sean S. Cunningham","Victor Miller","Korku","1h 34m","İngilizce","$550,000.00","$59,800,000.00"
"13. Cuma Bölüm 10: Jason","26/04/2002 (US)","48","James Isaac","","Korku,Bilim-Kurgu","1h 31m","İngilizce","$11,000,000.00","$16,951,798.00"
"13. Cuma Bölüm 2","01/09/1982 (TR)","62","Steve Miner","","Korku,Gerilim","1h 26m","İngilizce","$1,250,000.00","$21,700,000.00"
"13. Cuma Bölüm 3","13/08/1982 (US)","59","Steve Miner","","Korku,Gerilim","1h 35m","İngilizce","$4,000,000.00","$36,700,000.00"
"13. Cuma Bölüm 4: Son Bölüm","13/04/1984 (TR)","61","Joseph Zito","","Korku,Gerilim","1h 31m","İngilizce","$2,600,000.00","$33,000,000.00"
"13. Cuma Bölüm 7: Yeni Kan","13/05/1988 (US)","54","John Carl Buechler","","Korku,Gerilim,Bilim-Kurgu","1h 28m","İngilizce","$2,800,000.00","$19,200,000.00"
"13. Cuma Bölüm 8: Jason Manhattan'da","28/07/1989 (US)","49","Rob Hedden","","Korku,Gerilim","1h 40m","İngilizce","$5,000,000.00","$14,000,000.00"
"13. Kat","16/04/1999 (US)","70","Josef Rusnak","","Gerilim,Bilim-Kurgu,Gizem","1h 41m","İngilizce","$16,000,000.00","$18,600,000.00"
"14 and Under","16/08/1973 (DE)","57","Ernst Hofbauer","Ernst Hofbauer","Komedi,Romantik","1h 27m","Almanca","-","-"
"1408","28/09/2007 (TR)","67","Mikael Håfström","","Korku,Gizem","1h 52m","İngilizce","$25,000,000.00","$133,000,000.00"
"1492: Cennetin Keşfi","09/10/1992 (ES)","62","Ridley Scott","","Aksiyon,Macera,Dram,Tarih","2h 34m","İngilizce","$47,000,000.00","$7,191,399.00"
"15 Dakika Savaş","30/01/2019 (FR)","68","Fred Grivois","Fred Grivois","Savaş,Aksiyon,Dram,Tarih","1h 38m","Fransızca","-","-"
"15:17 Paris Treni","09/02/2018 (US)","54","Clint Eastwood","","Dram,Gerilim","1h 34m","İngilizce","$30,000,000.00","$57,076,286.00"
"16 Blok","17/03/2006 (TR)","64","Richard Donner","Richard Wenk","Aksiyon,Macera,Suç,Gerilim","1h 45m","İngilizce","$55,000,000.00","$65,664,721.00"
"16 Dilek","25/06/2010 (US)","63","Peter DeLuise","Annie DeYoung","Fantastik,Dram,Aile","1h 30m","İngilizce","-","-"
"16. Doğum Günüm","04/05/1984 (US)","68","John Hughes","John Hughes","Dram,Romantik,Komedi","1h 33m","İngilizce","$6,500,000.00","$23,686,027.00"
"17 Yeniden","17/04/2009 (US)","63","Burr Steers","Jason Filardi","Komedi,Fantastik,Dram,Romantik","1h 42m","İngilizce","$20,000,000.00","$136,300,000.00"
"172 Days","23/11/2023 (ID)","51","Hadrah Daeng Ratu","Archie Hekagery","Dram,Romantik","1h 43m","Endonezce","-","-"
"18 Year Old Virgin","20/01/2009 (US)","39","Tamara Olson","Naomi L. Selfman","Komedi","1h 26m","İngilizce","-","-"
"18×2 Beyond Youthful Days","14/03/2024 (TW)","83","Michihito Fujii","Michihito Fujii","Romantik","2h 4m","Çince","-","-"
"187","29/07/1997 (US)","66","Kevin Reynolds","","Dram,Gerilim","1h 59m","İngilizce","$20,000,000.00","$5,716,080.00"
"1900","28/08/1976 (IT)","79","Bernardo Bertolucci","Bernardo Bertolucci","Dram,Tarih","5h 17m","İtalyanca","$9,000,000.00","-"
"1922","20/10/2017 (TR)","59","Zak Hilditch","","Korku,Suç,Dram","1h 43m","İngilizce","-","-"
"1984","10/10/1984 (GB)","68","Michael Radford","","Dram,Bilim-Kurgu,Romantik","1h 53m","İngilizce","-","$8,430,492.00"
"1987: When the Day Comes","27/12/2017 (KR)","81","Jang Joon-hwan","Kim Kyung-chan","Dram,Tarih,Gerilim","2h 9m","Korece","$12,308,000.00","$49,380,115.00"
"1990: The Bronx Warriors","22/08/1982 (IT)","50","Enzo G. Castellari","","Aksiyon,Bilim-Kurgu,Gerilim","1h 29m","İtalyanca","-","-"
"1BR","28/09/2019 (US)","60","David Marmor","David Marmor","Gerilim,Dram,Korku","1h 30m","İngilizce","-","-"
"2 Kalp","16/10/2020 (US)","74","Lance Hool","Robin U. Russin","Romantik,Dram","1h 41m","İngilizce","-","-"
"2:22","30/06/2017 (AU)","60","Paul Currie","","Bilim-Kurgu,Gizem,Gerilim,Romantik","1h 39m","İngilizce","-","$3,945,729.00"
"20 Days in Mariupol","14/07/2023 (US)","81","Mstyslav Chernov","","Belgesel,Savaş","1h 34m","İngilizce","-","$21,000.00"
"20. Yüzyılın Kadınları","28/12/2016 (US)","74","Mike Mills","","Dram","1h 59m","İngilizce","$7,000,000.00","$5,664,764.00"
"2001: Uzay Yolu Macerası","19/11/1973 (TR)","81","Stanley Kubrick","","Bilim-Kurgu,Gizem,Macera","2h 29m","İngilizce","$12,000,000.00","$71,923,560.00"
"2010 Karşılaşma Zamanı","06/12/1984 (US)","67","Peter Hyams","","Gerilim,Bilim-Kurgu","1h 56m","İngilizce","$28,000,000.00","$40,400,000.00"
"2012","13/11/2009 (TR)","58","Roland Emmerich","Roland Emmerich","Aksiyon,Macera,Bilim-Kurgu","2h 38m","İngilizce","$200,000,000.00","$791,217,826.00"
"2020 Bit Artık","27/12/2020 (GB)","65","Al Campbell","Mollie Goodfellow","Komedi","1h 11m","İngilizce","-","-"
"2025: Blood, White & Blue","01/07/2022 (US)","43","Josh E. Williams","Josh E. Williams","Korku,Aksiyon,Komedi","2h 15m","İngilizce","-","-"
"2067","02/10/2020 (US)","53","Seth Larney","Seth Larney","Bilim-Kurgu,Gerilim","1h 54m","İngilizce","-","-"
"20th Century Girl","06/10/2022 (KR)","82","Bang Woo-ri","Bang Woo-ri","Romantik,Dram","1h 59m","Korece","$119.00","-"
"21 Köprü","22/11/2019 (US)","68","Brian Kirk","","Suç,Aksiyon,Dram","1h 39m","İngilizce","$33,000,000.00","$49,900,000.00"
"211","08/06/2018 (US)","53","York Alec Shackleton","","Suç,Aksiyon,Gerilim","1h 26m","İngilizce","-","$1,052,222.00"
"22 vs. Earth","30/04/2021 (US)","70","Kevin Nolting","Josh Cooley","Aile,Komedi,Fantastik,Animasyon","9m","İngilizce","-","-"
"23 Numara","02/03/2007 (TR)","64","Joel Schumacher","","Gerilim,Gizem,Suç","1h 38m","İngilizce","$30,000,000.00","$77,600,000.00"
"24 Year Old Yoon Yul's Sexy Breasts","01/03/2021 (KR)","72","","","Dram,Romantik","1h 10m","Korece","-","-"
"28 Gün Sonra","11/07/2003 (TR)","72","Danny Boyle","","Korku,Gerilim,Bilim-Kurgu","1h 53m","İngilizce","$8,000,000.00","$85,700,000.00"
"28 Hafta Sonra","26/04/2007 (GB)","66","Juan Carlos Fresnadillo","","Korku,Gerilim,Bilim-Kurgu","1h 40m","İngilizce","$15,000,000.00","$65,100,000.00"
"3 Aptal","25/12/2009 (IN)","80","Rajkumar Hirani","","Dram,Komedi","2h 50m","Hintçe","$9,000,000.00","$70,000,000.00"
"3 Days of a Blind Girl","27/05/1993 (HK)","54","Chan Wing-Chiu","","Gerilim","1h 28m","Cantonese","-","-"
"3 Ninjas","07/08/1992 (US)","57","Jon Turteltaub","","Aile,Aksiyon,Macera,Komedi","1h 36m","İngilizce","$6,500,000.00","$29,000,301.00"
"3 Ninjas Kick Back","06/05/1994 (US)","56","Charles T. Kanganis","Shin Sang-ok","Aile,Macera,Aksiyon,Komedi","1h 33m","İngilizce","$20,000,000.00","$11,798,854.00"
"3 Ninjas Knuckle Up","07/04/1995 (US)","51","Shin Sang-ok","Alex S. Kim","Aile,Macera,Aksiyon,Komedi","1h 25m","İngilizce","-","$413,479.00"
"300: Spartalı","16/03/2007 (TR)","72","Zack Snyder","","Aksiyon,Macera,Savaş","1h 56m","İngilizce","$65,000,000.00","$456,082,343.00"
"3096 Gün","28/02/2013 (DE)","74","Sherry Hormann","","Dram","1h 51m","Almanca","-","$6,677,474.00"
"32 Malasana Street","17/01/2020 (ES)","65","Albert Pintó","","Dram,Korku","1h 45m","İspanyolca; Kastilyaca","-","-"
"34. Cadde'de Mucize","18/11/1994 (US)","67","Les Mayfield","","Fantastik,Dram,Aile","1h 54m","İngilizce","-","$46,264,384.00"
"365 Gün Daha","19/08/2022 (TR)","64","Tomasz Mandes","Tomasz Mandes","Romantik,Dram","1h 53m","Lehçe","-","-"
"365 Gün: Bugün","27/04/2022 (TR)","59","Tomasz Mandes","Tomasz Mandes","Romantik,Dram","1h 51m","Lehçe","-","-"
"39. Dosya","13/08/2009 (US)","63","Christian Alvart","Ray Wright","Korku,Gizem,Gerilim","1h 49m","İngilizce","$27,000,000.00","$29,000,000.00"
"4 Tetikçi","15/12/2022 (ID)","68","Timo Tjahjanto","Timo Tjahjanto","Aksiyon,Komedi,Suç","2h 21m","Endonezce","-","-"
"40 Gün 40 Gece","01/03/2002 (US)","55","Michael Lehmann","Rob Perez","Komedi,Romantik","1h 34m","İngilizce","$17,000,000.00","$95,146,283.00"
"40 Yıllık Bekar","11/08/2005 (US)","64","Judd Apatow","","Komedi,Romantik","1h 56m","İngilizce","$26,000,000.00","$177,400,000.00"
"44. Çocuk","17/04/2015 (US)","63","Daniel Espinosa","","Suç,Gerilim","2h 17m","İngilizce","$50,000,000.00","$3,324,330.00"
"47 Metre Derinde","16/06/2017 (US)","58","Johannes Roberts","Johannes Roberts","Gerilim,Macera,Korku","1h 27m","İngilizce","$5,500,000.00","$62,198,461.00"
"47 Metre Derinde: Kafes","16/08/2019 (US)","57","Johannes Roberts","","Korku,Dram,Macera","1h 30m","İngilizce","$12,000,000.00","$47,582,563.00"
"47 Ronin","27/12/2013 (TR)","62","Carl Rinsch","","Dram,Aksiyon,Fantastik","1h 59m","İngilizce","$175,000,000.00","$151,783,839.00"
"47 Ronin'in Kılıcı","25/10/2022 (US)","65","Ron Yuan","April Jeanette Mendez","Fantastik","1h 46m","İngilizce","-","-"
"48 Saat Daha","08/06/1990 (US)","60","Walter Hill","","Gerilim,Aksiyon,Komedi,Suç,Dram","1h 35m","İngilizce","$38,000,000.00","$153,518,974.00"
"49th Parallel","24/11/1941 (GB)","69","Michael Powell","","Savaş,Gerilim","2h 3m","İngilizce","-","-"
"50 İlk Öpücük","30/04/2004 (TR)","69","Peter Segal","","Komedi,Romantik","1h 39m","İngilizce","$75,000,000.00","$196,482,882.00"
"55 Adım","01/03/2018 (DE)","67","Bille August","Mark Rosin","Dram","1h 55m","İngilizce","-","-"
"57 Numaralı Yolcu","06/11/1992 (US)","60","Kevin Hooks","","Aksiyon,Macera,Gerilim","1h 24m","İngilizce","$15,000,000.00","$44,065,653.00"
"6 Süper Kahraman","08/01/2015 (TR)","77","Don Hall","","Macera,Aile,Animasyon,Aksiyon,Komedi","1h 42m","İngilizce","$165,000,000.00","$657,827,828.00"
"6 Underground","13/12/2019 (TR)","63","Michael Bay","Rhett Reese","Aksiyon,Komedi,Gerilim","2h 7m","İngilizce","$150,000,000.00","-"
"60 Dakika","19/01/2024 (DE)","68","Oliver Kienle","","Aksiyon","1h 29m","Almanca","-","-"
"60 Saniye","09/06/2000 (US)","64","Dominic Sena","","Aksiyon,Suç,Gerilim","1h 58m","İngilizce","$90,000,000.00","$237,200,000.00"
"65","10/03/2023 (TR)","60","Scott Beck","Scott Beck","Bilim-Kurgu,Aksiyon,Gerilim","1h 32m","İngilizce","$45,000,000.00","$55,000,000.00"
"7. Koğuştaki Mucize","11/10/2019 (TR)","83","Mehmet Ada Öztekin","Özge Efendioğlu","Dram","2h 12m","Türkçe","$10,000,000.00","$28,000,000.00"
"71: Ateş Altında","16/06/2010 (KR)","75","John H. Lee","Chung Tae-won","Savaş","2h","Korece","$10,400,000.00","$20,967,660.00"
"8 Mil","14/02/2003 (TR)","71","Curtis Hanson","Scott Silver","Dram,Müzik","1h 51m","İngilizce","$41,000,000.00","$242,875,078.00"
"8 Milimetre","14/05/1999 (TR)","64","Joel Schumacher","Andrew Kevin Walker","Gerilim,Suç,Gizem","2h 3m","İngilizce","$40,000,000.00","$96,618,699.00"
"80 Günde Devri Alem","04/08/2021 (FR)","55","Samuel Tourneux","Gerry Swallow","Animasyon,Aile,Komedi","1h 22m","Fransızca","$20,000,000.00","-"
"80 Günde Devr-i Alem","23/03/2015 (TR)","59","Frank Coraci","","Aksiyon,Macera,Komedi","2h","İngilizce","$110,000,000.00","$72,178,895.00"
"88 Dakika","24/12/2007 (US)","58","Jon Avnet","Gary Scott Thompson","Gerilim,Gizem","1h 48m","İngilizce","$30,000,000.00","$32,593,385.00"
"8-Bit Christmas","24/11/2021 (US)","64","Michael Dowse","","Aile,Komedi,Fantastik","1h 38m","İngilizce","-","-"
"9","16/04/2010 (TR)","69","Shane Acker","","Aksiyon,Macera,Animasyon,Bilim-Kurgu,Gerilim","1h 19m","İngilizce","$30,000,000.00","$48,428,063.00"
"9 Songs","16/07/2004 (GB)","56","Michael Winterbottom","","Dram,Müzik,Romantik","1h 9m","İngilizce","$1,000,000.00","$1,574,623.00"
"9. Oturum","02/11/2001 (TR)","62","Brad Anderson","","Korku,Gizem","1h 40m","İngilizce","$1,500,000.00","$1,612,259.00"
"90'lar Ortası","19/10/2018 (US)","75","Jonah Hill","","Dram,Komedi","1h 25m","İngilizce","$1,700,000.00","$9,300,000.00"
"97 Dakika","10/07/2023 (GB)","48","Timo Vuorensola","Pavan Grover","Aksiyon,Gerilim,Dram","1h 33m","İngilizce","$7,000,000.00","-"
"99 Ev","25/09/2015 (US)","68","Ramin Bahrani","Ramin Bahrani","Dram","1h 52m","İngilizce","$8,000,000.00","$1,411,927.00"
"99 Women","19/09/1969 (TR)","51","Jesús Franco","","Gerilim,Dram,Korku","1h 39m","İngilizce","-","-"
"9'dan 5'e","19/12/1980 (US)","69","Colin Higgins","","Komedi","1h 50m","İngilizce","$10,000,000.00","$103,300,000.00"
"A Better Tomorrow","02/08/1986 (HK)","74","John Woo","","Aksiyon,Suç,Dram","1h 35m","Çince","-","$4,469,460.00"
"A Better Tomorrow II","17/12/1987 (HK)","71","John Woo","John Woo","Aksiyon,Suç,Gerilim","1h 45m","Çince","$150,000.00","-"
"A Better Tomorrow III: Love and Death in Saigon","20/10/1989 (HK)","65","Tsui Hark","Tsui Hark","Savaş,Aksiyon,Gerilim","1h 54m","Cantonese","$152,000.00","-"
"A Bullet for the General","13/01/1967 (IT)","65","Damiano Damiani","Franco Solinas","Vahşi Batı","1h 58m","İtalyanca","-","-"
"A Chinese Ghost Story","18/07/1987 (HK)","73","Tony Ching Siu-Tung","","Fantastik,Aksiyon","1h 38m","Cantonese","$1,250,000.00","-"
"A Chinese Odyssey Part Two: Cinderella","04/02/1995 (HK)","77","Jeff Lau Chun-Wai","Jeff Lau Chun-Wai","Aksiyon,Macera,Fantastik,Komedi,Romantik","1h 39m","Cantonese","-","$2,692,748.00"
"A Chinese Torture Chamber Story","19/05/1994 (HK)","55","Bosco Lam","Jobic Tsui Tat-Chor","Korku,Komedi,Dram","1h 33m","Cantonese","-","-"
"A Christmas Carol","09/10/1984 (GB)","74","Clive Donner","","Dram,Fantastik,TV film,Aile","1h 41m","İngilizce","-","-"
"A Christmas Carol","16/12/1938 (US)","70","Edwin L. Marin","","Dram,Fantastik,Aile","1h 9m","İngilizce","-","-"
"A Cultural Film","04/10/2000 (EG)","70","Mohamed Amin","Mohamed Amin","Komedi","2h","Arapça","-","-"
"A Delicious Flight","01/11/2015 (KR)","42","Choi Sang-hoon","","Romantik","1h 37m","Korece","-","-"
"A Dirty Shame","24/09/2004 (US)","53","John Waters","John Waters","Komedi","1h 29m","İngilizce","$15,000,000.00","$1,900,000.00"
"A Fairly Odd Movie: Grow Up, Timmy Turner!","09/07/2011 (US)","48","Savage Steve Holland","Butch Hartman","Aile,Fantastik,TV film","57m","İngilizce","-","-"
"A Family Affair","20/05/2024 (GB)","0","Warren Fischer","Warren Fischer","Komedi","1h 12m","İngilizce","-","-"
"A Fortunate Man","30/08/2018 (DK)","68","Bille August","","Dram","2h 42m","Danca","-","-"
"A Grand Day Out","24/06/1994 (GB)","75","Nick Park","Nick Park","Aile,Animasyon,Komedi","23m","İngilizce","$17,300.00","-"
"A Guy Named Joe","24/12/1943 (US)","65","Victor Fleming","","Dram,Romantik,Savaş,Fantastik","2h","İngilizce","$2,627,000.00","$5,363,000.00"
"A Haunting in Ravenwood","31/12/2021 (US)","55","Calvin Morie McCarthy","Calvin Morie McCarthy","Korku","1h 36m","İngilizce","-","-"
"A Housekeeper to Tame","26/12/2018 (KR)","0","Han Dong-Ho","","Romantik","1h 13m","Korece","-","-"
"A Merry Friggin' Christmas","07/11/2014 (US)","53","Tristram Shapeero","Michael Brown","Komedi","1h 22m","İngilizce","-","-"
"A Moroccan Affair","01/12/2023 (ES)","59","Álvaro Fernández Armero","Daniel Castro","Komedi","1h 37m","İspanyolca; Kastilyaca","$5,500,000.00","$10,950,000.00"
"A Nice Girl Like You","18/07/2020 (US)","57","Chris Riedell","","Komedi,Romantik","1h 34m","İngilizce","$6,100,000.00","-"
"A Projesi","22/12/1983 (HK)","72","Jackie Chan","Jackie Chan","Aksiyon,Komedi","1h 46m","Cantonese","-","$18,000,000.00"
"A Really Haunted Loud House","28/09/2023 (US)","63","Jonathan Judge","Rebecca May","TV film,Komedi,Aile,Korku","1h 12m","İngilizce","-","-"
"A Simple Wish","11/07/1997 (US)","55","Michael Ritchie","","Macera,Komedi,Aile,Fantastik","1h 26m","İngilizce","$28,000,000.00","$8,345,056.00"
"A Soldier's Story","14/09/1984 (US)","67","Norman Jewison","","Dram,Gizem,Savaş,Suç","1h 41m","İngilizce","$6,000,000.00","$21,821,347.00"
"A Star Is Born","27/04/1937 (US)","72","William A. Wellman","Ben Hecht","Dram,Romantik","1h 51m","İngilizce","-","-"
"A Tale of Two Guns","17/02/2022 (US)","61","Justin Lee","Justin Lee","Vahşi Batı","1h 31m","İngilizce","-","-"
"A Whisker Away","18/06/2020 (JP)","79","Junichi Sato","","Animasyon,Dram,Romantik,Fantastik","1h 44m","Japonca","-","-"
"About Fate","09/09/2022 (US)","75","Marius Weisberg","Tiffany Paulsen","Romantik,Komedi","1h 40m","İngilizce","-","-"
"Above Majestic","30/10/2018 (US)","75","Roger R. Richards","","Belgesel","2h 13m","İngilizce","-","-"
"Above the Rim","23/03/1994 (US)","69","Jeff Pollack","Jeff Pollack","Suç,Dram","1h 36m","İngilizce","-","-"
"Absence of Malice","19/11/1981 (US)","66","Sydney Pollack","Kurt Luedtke","Dram,Romantik","1h 56m","İngilizce","$12,000,000.00","$40,716,963.00"
"Absolution","15/05/2015 (US)","47","Keoni Waxman","Keoni Waxman","Aksiyon,Gerilim,Macera,Suç","1h 35m","İngilizce","-","-"
"Acayip Bi Film","29/08/2008 (US)","32","Aaron Seltzer","Aaron Seltzer","Komedi,Bilim-Kurgu","1h 27m","İngilizce","$25,000,000.00","$14,109,284.00"
"Acemi Peri","04/12/2020 (US)","68","Sharon Maguire","","Aile,Fantastik,Komedi","1h 53m","İngilizce","-","-"
"Acı Ay","11/03/1994 (US)","71","Roman Polanski","","Gerilim,Dram,Romantik","2h 19m","İngilizce","$5,000,000.00","$1,862,805.00"
"Acı Reçete","27/10/2023 (TR)","67","David Yates","Wells Tower","Dram","2h 4m","İngilizce","-","-"
"Acı Tatlı Hayat","01/04/2005 (KR)","75","Kim Jee-woon","","Aksiyon,Dram,Suç","1h 59m","Korece","-","-"
"Acımasız","21/06/2024 (TR)","65","Art Camacho","Art Camacho","Aksiyon,Gerilim","1h 32m","İngilizce","-","-"
"Acımasız","10/10/2022 (US)","52","John Ross","John Ross","Korku","1h 41m","İngilizce","-","-"
"Acımasız Rekabet","04/11/2016 (US)","51","Paul Schrader","","Dram,Suç,Gerilim","1h 33m","İngilizce","-","$184,404.00"
"Acil Arama","05/07/2013 (TR)","68","Brad Anderson","","Suç,Gerilim","1h 34m","İngilizce","$13,000,000.00","$68,572,378.00"
"Acil Teslimat","24/08/2012 (US)","63","David Koepp","David Koepp","Suç,Aksiyon,Gerilim","1h 31m","İngilizce","$35,000,000.00","$31,100,000.00"
"Acrimony","30/03/2018 (US)","68","Tyler Perry","","Dram,Gerilim","2h","İngilizce","$20,000,000.00","$34,800,000.00"
"Aç Gözünü","11/02/2000 (TR)","74","Alejandro Amenábar","","Dram,Gerilim,Bilim-Kurgu","1h 57m","İspanyolca; Kastilyaca","$2,900,000.00","$370,720.00"
"Açık Çek","11/02/1994 (US)","59","Rupert Wainwright","Blake Snyder","Komedi,Aile","1h 33m","İngilizce","$13,000,000.00","$30,600,000.00"
"Açık Tehlike","25/11/1994 (TR)","66","Phillip Noyce","","Aksiyon,Dram,Gerilim","2h 21m","İngilizce","$62,000,000.00","$215,900,000.00"
"Açlık","18/04/1973 (US)","69","Richard Fleischer","","Bilim-Kurgu,Gerilim","1h 37m","İngilizce","-","$3,600,000.00"
"Açlık","08/04/2023 (TR)","73","Sitisiri Mongkolsiri","","Dram","2h 25m","Taylandça","-","-"
"Açlık","29/04/1983 (US)","67","Tony Scott","","Korku,Dram","1h 36m","İngilizce","$10,000,000.00","$10,200,000.00"
"Açlık Oyunları","23/03/2012 (TR)","72","Gary Ross","","Bilim-Kurgu,Macera,Fantastik","2h 22m","İngilizce","$75,000,000.00","$694,394,724.00"
"Açlık Oyunları: Kuşların ve Yılanların Şarkısı","17/11/2023 (TR)","72","Francis Lawrence","","Dram,Bilim-Kurgu,Aksiyon","2h 37m","İngilizce","$100,000,000.00","$337,371,917.00"
"Ad Libitum","21/01/2021 (RU)","64","Polina Oldenburg","","Gerilim,Macera","1h 27m","Rusça","-","-"
"Adagio","14/12/2023 (IT)","68","Stefano Sollima","","Suç,Gerilim,Aksiyon","2h 7m","İtalyanca","-","-"
"Adalet","26/09/2014 (TR)","73","Antoine Fuqua","Richard Lindheim","Gerilim,Aksiyon,Suç","2h 12m","İngilizce","$55,000,000.00","$192,330,738.00"
"Adalet 2","14/09/2018 (TR)","67","Antoine Fuqua","","Aksiyon,Gerilim,Suç","2h 1m","İngilizce","$62,000,000.00","$190,400,157.00"
"Adalet 3: Son","01/09/2023 (TR)","74","Antoine Fuqua","Richard Wenk","Aksiyon,Gerilim,Suç","1h 49m","İngilizce","$70,000,000.00","$190,000,000.00"
"Adalet Birliği Ölümcül Beşliye Karşı","29/03/2019 (US)","68","Sam Liu","Eric Carrasco","Animasyon,Aksiyon,Bilim-Kurgu","1h 17m","İngilizce","-","-"
"Adalet Birliği: Atlantis Tahtı","13/01/2015 (US)","70","Ethan Spaulding","Heath Corson","Bilim-Kurgu,Aksiyon,Animasyon,Macera","1h 12m","İngilizce","$3,500,000.00","-"
"Adalet Birliği: Flash Noktası Paradoksu","30/07/2013 (US)","79","Jay Oliva","","Bilim-Kurgu,Animasyon,Aksiyon,Macera","1h 15m","İngilizce","$3,500,000.00","-"
"Adalet Birliği: Tanrılar ve Canavarlar","14/07/2015 (US)","71","Sam Liu","Alan Burnett","Aksiyon,Animasyon,Fantastik","1h 16m","İngilizce","-","-"
"Adalet için","16/02/1996 (US)","59","Harold Becker","Paul Schrader","Dram,Gerilim","1h 51m","İngilizce","$40,000,000.00","$33,440,204.00"
"Adalet Peşinde","01/01/2010 (TR)","74","F. Gary Gray","Kurt Wimmer","Dram,Suç,Gerilim","1h 49m","İngilizce","$53,000,000.00","$127,900,000.00"
"Adalet Takımı Genç Titanlara Karşı","26/03/2016 (US)","73","Sam Liu","Bryan Q. Miller","Bilim-Kurgu,Aksiyon,Animasyon,Macera,Komedi","1h 18m","İngilizce","-","-"
"Adaletin Eli","15/03/2024 (TR)","72","Ian Nelms","Jonathan Easley","Suç,Aksiyon,Gerilim","1h 51m","İngilizce","-","-"
"Adaletsiz","03/09/2018 (TR)","66","S. Craig Zahler","","Suç,Aksiyon,Gerilim","2h 39m","İngilizce","$15,000,000.00","$660,132.00"
"Adamım Tommy","31/03/1995 (US)","68","Peter Segal","Terry Turner","Komedi","1h 38m","İngilizce","-","$32,648,673.00"
"Addams Ailesi","24/01/1992 (TR)","71","Barry Sonnenfeld","","Komedi,Fantastik","1h 39m","İngilizce","$30,000,000.00","$191,502,426.00"
"Addams Ailesi","06/12/2019 (TR)","66","Conrad Vernon","","Aile,Animasyon,Komedi,Fantastik","1h 26m","İngilizce","$40,000,000.00","$204,394,183.00"
"Addams Ailesi 2","12/11/2021 (TR)","70","Greg Tiernan","Benji Samit","Aile,Animasyon,Komedi,Fantastik,Macera","1h 33m","İngilizce","-","$119,815,153.00"
"Addicted to Love","23/05/1997 (US)","61","Griffin Dunne","","Komedi,Romantik","1h 40m","İngilizce","-","$34,673,095.00"
"Adele'nin Olağanüstü Maceraları","14/04/2010 (FR)","62","Luc Besson","","Fantastik,Macera,Aksiyon,Gizem","1h 45m","Fransızca","$25,000,000.00","$34,604,339.00"
"Adı Çıkmış","11/04/2011 (TR)","68","Will Gluck","Bert V. Royal","Komedi","1h 33m","İngilizce","$8,000,000.00","$75,026,327.00"
"Adım Adım Komplo","27/02/2009 (US)","63","Greg Marcks","","Aksiyon,Gerilim","1h 45m","İngilizce","-","$2,186,782.00"
